correct value,prediction
0.0,0.28459394
1.0,1.1069214
0.0,0.23347124
1.0,0.5499203
1.0,0.36619085
0.0,0.2254962
0.0,0.2591396
1.0,0.84291214
0.0,0.24826878
1.0,0.44044286
0.0,0.116946936
1.0,1.1257365
0.0,0.28818
1.0,0.6857624
1.0,0.76122934
1.0,0.70712787
1.0,1.5860274
1.0,1.07516
1.0,0.45784342
1.0,1.1872413
0.0,0.26302665
0.0,0.27326214
0.0,0.29248944
0.0,0.33046806
1.0,1.4429679
1.0,0.73250794
0.0,0.28957278
1.0,2.2012138
1.0,0.47269124
0.0,0.29145843
1.0,0.53641874
1.0,1.4676151
1.0,1.898721
0.0,0.2842887
0.0,0.22658196
1.0,0.45092446
1.0,1.5365422
0.0,0.18252826
1.0,1.5714464
1.0,0.3446884
0.0,0.33687684
1.0,0.42637163
1.0,0.45122993
1.0,0.9273743
0.0,0.3498328
1.0,1.0292208
0.0,0.089526355
0.0,0.15905768
1.0,0.48285002
0.0,0.19095892
1.0,0.8122359
0.0,0.27185774
0.0,0.15818751
0.0,0.24741375
0.0,0.23257577
1.0,1.005508
1.0,2.2940578
1.0,0.94972235
1.0,1.139564
1.0,0.40045804
1.0,1.3196735
1.0,0.81719536
1.0,0.86536306
0.0,0.3045183
1.0,0.80146754
1.0,0.5052708
0.0,0.23163533
1.0,1.0089784
1.0,1.1429677
1.0,0.37925455
0.0,0.2565231
1.0,0.5106575
0.0,0.2883794
0.0,0.31098503
1.0,0.55098176
0.0,0.31532577
1.0,0.64941657
1.0,1.2893617
1.0,0.8024406
1.0,0.5966052
1.0,0.52183205
1.0,0.37060344
0.0,0.2264787
1.0,1.9051068
1.0,0.8510849
0.0,0.3138158
1.0,0.39358574
1.0,0.37327504
0.0,0.21372873
0.0,0.28928623
0.0,0.19637966
1.0,1.0765085
1.0,1.0711102
1.0,1.122613
1.0,1.0001101
1.0,0.43030578
1.0,1.3608382
0.0,0.32133606
1.0,1.2331867
1.0,1.9863915
1.0,0.45248717
0.0,0.3132946
1.0,0.577882
0.0,0.19924486
0.0,0.33341876
1.0,0.38465595
1.0,0.91537756
1.0,1.7985973
1.0,1.1276875
0.0,0.2026321
1.0,1.4288745
1.0,0.39262754
1.0,0.54130214
1.0,0.4273395
0.0,0.18152839
1.0,0.48409635
0.0,0.1949996
0.0,0.19328523
1.0,1.7918565
1.0,0.45407856
0.0,0.3110885
0.0,0.27762502
0.0,0.19531077
0.0,0.33511811
0.0,0.3264487
0.0,0.18514603
1.0,0.9029675
0.0,0.25997555
1.0,1.3099465
1.0,1.2358203
0.0,0.36342198
0.0,0.35690963
1.0,1.9691262
1.0,1.2358632
1.0,1.0089037
1.0,1.29621
1.0,0.5791798
0.0,0.12791675
1.0,0.8125439
0.0,0.2736795
0.0,0.25782007
1.0,1.1718972
1.0,0.44702113
0.0,0.3204032
1.0,0.55427825
0.0,0.2208499
1.0,0.39446896
1.0,1.9347062
1.0,1.0942681
0.0,0.3417256
1.0,0.77740645
0.0,0.27642736
0.0,0.31514007
1.0,1.0874457
0.0,0.33669603
1.0,1.1207235
0.0,0.17642483
0.0,0.3585322
0.0,0.1807934
0.0,0.279481
0.0,0.36274213
1.0,1.0073562
1.0,1.0462878
1.0,0.37809068
1.0,0.42565447
1.0,0.37867853
0.0,0.2642199
1.0,0.9105236
1.0,1.1325226
0.0,0.3279434
1.0,1.238014
0.0,0.34078145
1.0,1.1854362
